Per-dimension statistics (norm & cosine: max / min / mean / var)
  Methods: LLL / BKZ / ENUM / ENUM+SIEVE
  ||b1||    = shortest vector length
  ||b1||/GH = length over Gaussian-Heuristic (near 1 = good)
  max|cos|, mean|cos| aggregated across seeds within each dimension
  var = population variance (ddof=0)
==============================================================================================================
    method  dim  n_seeds       b1_max      b1_min     b1_mean       b1_var  b1_gh_max  b1_gh_min  b1_gh_mean  b1_gh_var  max_cos_max  max_cos_min  max_cos_mean  max_cos_var  mean_cos_max  mean_cos_min  mean_cos_mean  mean_cos_var
       LLL   98        9  8354.386034 6880.915564 7449.219539 3.240201e+05   3.310464   2.728960    2.957826   0.050588     0.710281     0.591071      0.650268     0.001467      0.179859      0.165452       0.171210      0.000020
       LLL   99        9  9525.808995 5682.735697 7251.912687 1.003573e+06   3.755836   2.249434    2.862582   0.154542     0.705341     0.636235      0.651556     0.000479      0.177538      0.162184       0.168338      0.000026
       LLL  100        9  8055.202108 6278.342297 7190.068686 4.399888e+05   3.163881   2.464460    2.827488   0.067783     0.732019     0.594623      0.654033     0.001696      0.173985      0.161578       0.166539      0.000026
       LLL  101        9  9860.610934 5797.572337 7656.779488 1.238068e+06   3.848859   2.274155    2.998514   0.186649     0.705392     0.594391      0.647921     0.001633      0.178525      0.152888       0.167109      0.000064
       LLL  102        9  8436.632978 6174.000648 7598.640511 4.016343e+05   3.278591   2.411226    2.959647   0.059878     0.713695     0.605977      0.664617     0.000822      0.177222      0.158075       0.166555      0.000025
       LLL  103        9  9510.242216 7315.200407 8161.409814 3.898973e+05   3.679324   2.838105    3.169773   0.057394     0.758037     0.639374      0.686197     0.001493      0.177965      0.164777       0.169076      0.000014
       LLL  104        9  8587.895551 7468.409871 7983.735990 1.858982e+05   3.312863   2.887557    3.080937   0.026818     0.734067     0.597427      0.652411     0.001443      0.174028      0.159919       0.167111      0.000021
       LLL  105        9 10015.168546 7169.662544 8837.400974 7.911845e+05   3.840960   2.750690    3.394971   0.114921     0.711623     0.650831      0.677364     0.000410      0.180134      0.163512       0.172689      0.000026
       LLL  106        9  9515.272881 7212.430312 8306.918359 6.541970e+05   3.644700   2.757091    3.180642   0.097871     0.693611     0.603416      0.661414     0.000648      0.176619      0.154106       0.165895      0.000036
       LLL  107        9 10359.207161 7117.502652 8554.410230 1.363588e+06   3.935670   2.717556    3.257823   0.194789     0.734595     0.609694      0.659540     0.001300      0.174862      0.155492       0.165442      0.000047
       LLL  108        9 10170.225120 7288.246428 8822.019209 8.197737e+05   3.847799   2.765936    3.343262   0.116452     0.689786     0.635827      0.662937     0.000282      0.174640      0.160413       0.167744      0.000021
       LLL  109        9 11779.944737 8559.007770 9682.840883 1.167670e+06   4.460928   3.221428    3.653387   0.169902     0.724113     0.611743      0.681513     0.001062      0.179820      0.160949       0.169001      0.000040
       LLL  110        9 10126.746417 7783.704003 9196.279246 5.512329e+05   3.812874   2.921924    3.457092   0.079677     0.738034     0.633329      0.673691     0.000832      0.175853      0.162430       0.168259      0.000021
       BKZ   70        9  3701.098215 3077.080109 3283.268483 2.932174e+04   1.723235   1.435216    1.530099   0.006401     0.628779     0.565949      0.595478     0.000606      0.163944      0.155395       0.160356      0.000006
       BKZ   71        9  3693.347127 3073.242425 3280.618239 3.507508e+04   1.713355   1.421572    1.519997   0.007747     0.639436     0.565249      0.604023     0.000597      0.165646      0.157655       0.161543      0.000008
       BKZ   72        9  3644.150656 3322.469262 3511.321602 1.344849e+04   1.675137   1.533930    1.617433   0.002492     0.659882     0.557109      0.615542     0.000965      0.164896      0.155711       0.161124      0.000007
       BKZ   73        9  3583.934430 3322.196713 3427.614538 6.757693e+03   1.642018   1.512625    1.564914   0.001523     0.667724     0.569877      0.608714     0.000778      0.163806      0.158873       0.161370      0.000003
       BKZ   74        9  3825.101959 3320.646323 3524.885544 1.776613e+04   1.737372   1.504505    1.602704   0.003732     0.699375     0.557271      0.621821     0.001771      0.166236      0.151104       0.161757      0.000019
       BKZ   75        9  3891.726866 3121.867390 3558.937638 4.297056e+04   1.760478   1.404275    1.603789   0.008943     0.646973     0.559205      0.600875     0.000803      0.164073      0.156581       0.160167      0.000006
       BKZ   76        9  3890.694925 3047.294702 3545.598844 6.811606e+04   1.740888   1.364486    1.587752   0.013689     0.660147     0.579434      0.615352     0.000732      0.170028      0.151455       0.158852      0.000023
       BKZ   77        9  4016.228953 3422.749041 3763.411674 3.099013e+04   1.788058   1.519433    1.674001   0.006577     0.653667     0.569451      0.615521     0.000710      0.163969      0.154961       0.158500      0.000008
       BKZ   78        9  4037.603497 3676.152880 3862.498751 1.409917e+04   1.789330   1.625162    1.710270   0.002622     0.713164     0.583283      0.643038     0.001274      0.164086      0.155648       0.160138      0.000006
       BKZ   79        9  4219.301127 3617.989497 3995.652695 3.014054e+04   1.860555   1.590449    1.757038   0.006032     0.668547     0.580814      0.614136     0.000863      0.166040      0.155156       0.160192      0.000012
       BKZ   80        9  4467.279485 3450.030725 3997.996002 8.391763e+04   1.948623   1.505869    1.748752   0.016138     0.659008     0.576412      0.609257     0.000687      0.166250      0.152857       0.160830      0.000020
       BKZ   81        9  4272.698445 3566.197134 4062.609946 3.475454e+04   1.854911   1.547375    1.768067   0.006807     0.666278     0.566568      0.616706     0.000878      0.163097      0.155824       0.159562      0.000005
       BKZ   82        9  4680.668115 3929.904833 4284.043389 4.605768e+04   2.030073   1.701741    1.854525   0.008618     0.683310     0.595353      0.634830     0.000982      0.164919      0.157633       0.160718      0.000005
       BKZ   83        9  4483.950379 3869.631507 4267.259240 3.451902e+04   1.931158   1.659137    1.834583   0.006784     0.666746     0.567057      0.613699     0.001124      0.166063      0.155790       0.160239      0.000012
       BKZ   84        9  4826.778325 3992.413305 4430.504328 6.862173e+04   2.057661   1.709434    1.892432   0.012081     0.656186     0.578446      0.617636     0.000648      0.165051      0.154044       0.160192      0.000010
       BKZ   85        9  4920.674344 4152.504907 4523.192604 5.955778e+04   2.086908   1.765953    1.921167   0.010247     0.704932     0.583329      0.625311     0.001273      0.168732      0.155565       0.161345      0.000023
       BKZ   86        9  4855.792623 4109.816541 4542.655368 6.622909e+04   2.049307   1.736278    1.919738   0.011960     0.690894     0.585681      0.632497     0.000769      0.161112      0.153249       0.157901      0.000007
       BKZ   87        9  5003.787166 4402.028964 4681.110594 3.641494e+04   2.106075   1.854620    1.969006   0.006126     0.661250     0.583429      0.619886     0.000893      0.161769      0.157261       0.159548      0.000003
       BKZ   88        9  5058.701612 4395.978503 4770.606813 3.513752e+04   2.109118   1.833934    1.994879   0.006365     0.675744     0.584365      0.632712     0.000879      0.163430      0.154734       0.159907      0.000009
       BKZ   89        9  5152.945759 4508.040372 4835.445741 5.214093e+04   2.136391   1.882132    2.010579   0.009008     0.647417     0.568012      0.609150     0.000725      0.160647      0.155675       0.157853      0.000003
       BKZ   90        9  5332.085802 4660.199030 4905.798586 4.379801e+04   2.206968   1.926900    2.030373   0.007780     0.651027     0.587524      0.614576     0.000280      0.164239      0.152035       0.158067      0.000012
       BKZ   91        9  5326.457922 4245.094227 4883.901730 1.300426e+05   2.184799   1.743643    2.008176   0.022395     0.747570     0.576717      0.656711     0.002597      0.162781      0.152612       0.157602      0.000008
       BKZ   92        9  5627.304328 4486.360217 5131.133140 1.076106e+05   2.301130   1.838227    2.097240   0.017766     0.668748     0.567167      0.623720     0.001155      0.163495      0.155332       0.159313      0.000009
       BKZ   93        9  5676.131958 4980.881147 5215.205075 4.556314e+04   2.307096   2.029937    2.124494   0.007500     0.642397     0.588237      0.606045     0.000317      0.163880      0.152926       0.158115      0.000009
       BKZ   94        9  5567.557723 4878.845970 5304.457848 3.510717e+04   2.258111   1.981386    2.149007   0.005462     0.684658     0.575428      0.631146     0.001442      0.161175      0.153848       0.157339      0.000007
       BKZ   95        9  6093.992780 5064.738888 5669.465900 9.652985e+04   2.449632   2.041125    2.286985   0.016084     0.733655     0.632202      0.662107     0.000832      0.161052      0.154086       0.159025      0.000005
       BKZ   96        9  5972.592486 5168.984330 5560.600443 5.757550e+04   2.394876   2.076171    2.231043   0.009127     0.647722     0.587019      0.623370     0.000396      0.163903      0.153465       0.159037      0.000009
       BKZ   97        9  6152.286404 5150.823235 5758.622147 9.373574e+04   2.456335   2.063165    2.301376   0.015083     0.651672     0.568893      0.620019     0.000737      0.161448      0.154284       0.158495      0.000008
       BKZ   98        9  6041.496255 5526.800973 5791.755897 3.367074e+04   2.394062   2.188405    2.299787   0.005421     0.680803     0.567938      0.632163     0.001391      0.164079      0.154832       0.159208      0.000009
       BKZ   99        9  6430.715512 5676.949181 5979.553411 5.427567e+04   2.534535   2.239896    2.360547   0.008184     0.648413     0.582629      0.616348     0.000430      0.163702      0.152161       0.158570      0.000010
       BKZ  100        9  6484.726671 5403.369967 6139.826979 1.030132e+05   2.544578   2.132490    2.414338   0.015205     0.699541     0.568285      0.628154     0.001711      0.165859      0.152518       0.157107      0.000015
       BKZ  101        9  6789.150389 5677.893888 6136.208093 1.523906e+05   2.667413   2.227210    2.403420   0.023468     0.701223     0.604237      0.639945     0.000778      0.161667      0.153223       0.157756      0.000006
       BKZ  102        9  7290.304109 5953.174111 6407.504281 1.546586e+05   2.832766   2.318725    2.495791   0.022966     0.656968     0.581447      0.626074     0.000632      0.159832      0.152353       0.156781      0.000006
       BKZ  103        9  6890.215381 5918.003971 6467.167167 8.633506e+04   2.679987   2.289558    2.512029   0.013623     0.683246     0.587121      0.641781     0.000650      0.158779      0.153973       0.156456      0.000002
       BKZ  104        9  6784.295984 6149.240197 6488.331805 4.407816e+04   2.618384   2.377546    2.503992   0.006683     0.672983     0.560193      0.612337     0.000855      0.160285      0.155133       0.157515      0.000002
       BKZ  105        9  6997.390371 6060.318143 6544.633326 9.540085e+04   2.690376   2.324218    2.514475   0.014649     0.701118     0.596599      0.643282     0.001288      0.161034      0.155589       0.157925      0.000003
       BKZ  106        9  7371.194137 6356.745000 6840.438058 1.157576e+05   2.823439   2.435805    2.618988   0.017513     0.714298     0.610569      0.648853     0.001066      0.163122      0.153807       0.156962      0.000009
       BKZ  107        9  7774.936720 6212.035496 7019.121639 2.381556e+05   2.952924   2.370738    2.673410   0.034068     0.670838     0.576164      0.629818     0.000850      0.161617      0.148596       0.158067      0.000015
       BKZ  108        9  7695.632463 6541.743575 7243.777580 1.387948e+05   2.911820   2.478053    2.745272   0.019613     0.712374     0.568138      0.632673     0.001695      0.162088      0.153052       0.156469      0.000009
       BKZ  109        9  7511.119823 6359.291549 7106.449290 1.368399e+05   2.834917   2.393502    2.681119   0.020214     0.708705     0.606146      0.646982     0.000950      0.162349      0.152386       0.157020      0.000011
       BKZ  110        9  7969.955081 6875.577721 7389.439381 7.128141e+04   2.989417   2.583021    2.777598   0.009755     0.663148     0.605859      0.635569     0.000406      0.163160      0.151043       0.156985      0.000013
      ENUM   70        9  3286.289397 3038.792359 3176.077470 7.157907e+03   1.529045   1.415972    1.480135   0.001562     0.613428     0.558116      0.583779     0.000298      0.164207      0.157340       0.159978      0.000005
      ENUM   71        9  3288.364335 2940.042347 3130.886062 1.331313e+04   1.524940   1.363894    1.450531   0.002791     0.615513     0.557595      0.590912     0.000269      0.166474      0.153221       0.158582      0.000014
      ENUM   72        9  3392.286987 2998.776584 3185.240614 1.896023e+04   1.566925   1.383111    1.467277   0.003869     0.675669     0.565670      0.621881     0.001275      0.162371      0.154909       0.159654      0.000005
      ENUM   73        9  3553.239226 3086.634251 3289.118790 1.621525e+04   1.630327   1.405304    1.501757   0.003716     0.671299     0.578737      0.620371     0.000769      0.163946      0.158107       0.161432      0.000003
      ENUM   74        9  3613.616056 3217.970945 3397.967966 1.527103e+04   1.637242   1.468091    1.544879   0.002854     0.657870     0.555761      0.604157     0.000815      0.162979      0.155433       0.159027      0.000006
      ENUM   75        9  3840.041015 3307.913542 3532.166147 2.259498e+04   1.725973   1.487962    1.591559   0.004271     0.664009     0.537586      0.599697     0.001302      0.161547      0.152872       0.157992      0.000010
      ENUM   76        9  3684.206563 3047.294702 3402.138930 3.593693e+04   1.657401   1.364486    1.523588   0.007484     0.667593     0.572635      0.608374     0.000768      0.161805      0.152086       0.157283      0.000008
      ENUM   77        9  3692.271658 3229.526126 3454.576697 2.654429e+04   1.639126   1.433657    1.536550   0.005377     0.667578     0.565046      0.600762     0.000819      0.160459      0.156281       0.158138      0.000002
      ENUM   78        9  3676.152880 3420.634883 3543.919686 5.557702e+03   1.625162   1.520593    1.569219   0.001012     0.677015     0.568851      0.623445     0.001421      0.161667      0.152047       0.155763      0.000012
      ENUM   79        9  3939.915989 3603.835457 3779.862401 1.036079e+04   1.730433   1.582363    1.662087   0.001990     0.744162     0.558881      0.600881     0.002770      0.161839      0.151336       0.157185      0.000011
      ENUM   80        9  3981.970241 3611.424511 3794.020407 1.415293e+04   1.738050   1.576994    1.659525   0.002810     0.756786     0.584356      0.628227     0.002386      0.164430      0.153666       0.158701      0.000010
      ENUM   81        9  4231.387597 3716.034580 3944.774098 2.690776e+04   1.834629   1.620348    1.716539   0.004494     0.680019     0.551541      0.611103     0.001574      0.165276      0.154908       0.158333      0.000012
      ENUM   82        9  4383.607190 3892.167520 4073.336026 2.039629e+04   1.898503   1.690273    1.763274   0.003663     0.684318     0.587330      0.622991     0.001106      0.161337      0.156313       0.159475      0.000002
      ENUM   83        9  4265.926511 3869.631507 4069.741698 1.229151e+04   1.838130   1.659137    1.749618   0.002485     0.700882     0.553957      0.610973     0.001992      0.162190      0.155770       0.158487      0.000005
      ENUM   84        9  4427.521316 3680.451874 4165.928280 4.356990e+04   1.887571   1.573176    1.779540   0.007995     0.663244     0.575663      0.614579     0.001032      0.162988      0.153789       0.158586      0.000009
      ENUM   85        9  4539.817838 3992.654881 4283.999902 1.925573e+04   1.924037   1.697829    1.819643   0.003290     0.699790     0.530673      0.602752     0.002159      0.162375      0.151372       0.157846      0.000013
      ENUM   86        9  4827.767496 4177.812107 4502.479630 3.231240e+04   2.041253   1.765677    1.902712   0.005727     0.641856     0.580003      0.612328     0.000402      0.162445      0.156275       0.159172      0.000003
      ENUM   87        9  4732.690778 4144.883111 4394.194802 2.375805e+04   1.983749   1.746282    1.848328   0.003933     0.643084     0.590577      0.622190     0.000409      0.160319      0.152181       0.156303      0.000006
      ENUM   88        9  4741.778358 4475.798476 4605.401480 6.890546e+03   1.991316   1.871971    1.925786   0.001399     0.694089     0.578662      0.630856     0.001260      0.162366      0.152491       0.157707      0.000012
      ENUM   89        9  4976.793345 4361.406998 4604.413039 3.663457e+04   2.076193   1.811748    1.914600   0.006646     0.661987     0.564755      0.597389     0.000695      0.160276      0.151842       0.156151      0.000005
      ENUM   90        9  4965.197881 4302.680095 4627.997630 4.918471e+04   2.047740   1.779073    1.915399   0.008662     0.652060     0.587683      0.616431     0.000532      0.160087      0.151546       0.155646      0.000007
      ENUM   91        9  5140.594810 4245.094227 4829.185129 7.995166e+04   2.118226   1.743643    1.985710   0.014072     0.716090     0.558355      0.615421     0.002038      0.165454      0.151217       0.156592      0.000015
      ENUM   92        9  5017.365743 4404.660032 4793.679768 3.621672e+04   2.047525   1.803647    1.959349   0.005984     0.623257     0.567516      0.600278     0.000252      0.161049      0.152572       0.156957      0.000006
      ENUM   93        9  5297.138850 4207.056810 4858.398997 9.996841e+04   2.152210   1.713274    1.979054   0.016175     0.685552     0.569665      0.626585     0.001554      0.159137      0.151817       0.155232      0.000005
      ENUM   94        9  5324.837275 4907.024047 5193.643121 1.990691e+04   2.159382   1.990209    2.104151   0.003138     0.673501     0.588453      0.626888     0.000825      0.160144      0.152278       0.155976      0.000009
      ENUM   95        9  5627.140926 4761.911696 5179.390962 6.563715e+04   2.271948   1.921128    2.089240   0.010799     0.665546     0.560901      0.612382     0.000931      0.157777      0.150271       0.154786      0.000005
      ENUM   96        9  5264.463126 4887.733422 5110.180967 1.063348e+04   2.120128   1.959126    2.050373   0.001787     0.680474     0.592926      0.628371     0.000817      0.160102      0.153140       0.155970      0.000006
      ENUM   97        9  5823.768711 5220.261871 5489.629523 3.468214e+04   2.326456   2.088371    2.193846   0.005503     0.697639     0.585573      0.627074     0.001113      0.160751      0.154065       0.156669      0.000005
      ENUM   98        9  5793.393565 5263.612543 5490.421964 2.855199e+04   2.303455   2.098338    2.180092   0.004437     0.700279     0.573485      0.636249     0.001643      0.160307      0.152557       0.157131      0.000006
      ENUM   99        9  6084.892439 4689.828035 5581.244396 1.349448e+05   2.400854   1.856155    2.203247   0.020599     0.675622     0.582446      0.620191     0.001010      0.161827      0.154100       0.157564      0.000004
      ENUM  100        9  6157.162577 5258.019019 5678.588853 7.391353e+04   2.428018   2.061901    2.233279   0.012149     0.680242     0.574229      0.624251     0.001070      0.157569      0.152687       0.155207      0.000002
      ENUM  101        9  6572.126901 5452.754442 5850.044640 1.386614e+05   2.575085   2.129338    2.291355   0.021370     0.689666     0.581631      0.620523     0.001075      0.159787      0.152940       0.155680      0.000004
      ENUM  102        9  6339.431915 5503.478355 5937.979147 8.783566e+04   2.463590   2.149357    2.312992   0.013376     0.781803     0.570020      0.635510     0.003574      0.163783      0.150579       0.156751      0.000017
      ENUM  103        9  6368.562161 5640.698450 6133.405605 4.559102e+04   2.474071   2.193981    2.382265   0.006873     0.695413     0.581333      0.619208     0.000895      0.158812      0.149079       0.154796      0.000010
      ENUM  104        9  6353.308823 5709.206863 6140.677076 3.899671e+04   2.454118   2.197502    2.369872   0.006119     0.729746     0.582649      0.635270     0.001538      0.156733      0.150804       0.153786      0.000003
      ENUM  105        9  6822.558245 5930.253030 6409.797566 1.007656e+05   2.630341   2.275182    2.462635   0.015247     0.653324     0.573883      0.623044     0.000711      0.160040      0.152835       0.156332      0.000004
      ENUM  106        9  6982.018619 6121.922982 6599.640392 4.712003e+04   2.675226   2.347257    2.526664   0.006760     0.652216     0.605466      0.626520     0.000252      0.159943      0.150169       0.154413      0.000009
      ENUM  107        9  7225.694915 6212.035496 6592.952163 1.008949e+05   2.756939   2.370738    2.511109   0.014348     0.650006     0.568429      0.603513     0.000486      0.156675      0.150946       0.153521      0.000003
      ENUM  108        9  7381.078173 5945.006392 6617.144639 1.633677e+05   2.795998   2.261019    2.507730   0.022952     0.660649     0.599763      0.630029     0.000399      0.162618      0.149799       0.154660      0.000014
      ENUM  109        9  7418.232471 6325.943250 6847.358526 1.271180e+05   2.809199   2.380950    2.583331   0.018642     0.651384     0.573392      0.622263     0.000599      0.159826      0.151461       0.155923      0.000006
      ENUM  110        9  7622.767739 6728.717708 7186.579494 7.084962e+04   2.869028   2.530781    2.701375   0.009903     0.645549     0.565858      0.605319     0.000499      0.158458      0.151185       0.155444      0.000006
ENUM_SIEVE   70        9  3209.352115 2692.874486 2952.406098 1.819801e+04   1.496910   1.252120    1.375950   0.004101     0.652435     0.550685      0.608758     0.001440      0.160213      0.154252       0.156753      0.000005
ENUM_SIEVE   71        9  3153.025690 2844.851490 2948.344541 1.353424e+04   1.460782   1.315926    1.366022   0.003013     0.631307     0.518770      0.581090     0.001384      0.160884      0.151310       0.156768      0.000008
ENUM_SIEVE   72        9  3186.300362 2914.463759 3115.048475 5.820774e+03   1.460682   1.347290    1.434960   0.001135     0.703261     0.553474      0.626974     0.002139      0.160128      0.154558       0.157187      0.000005
ENUM_SIEVE   73        9  3380.840576 2853.960932 3098.291510 2.127983e+04   1.548968   1.307648    1.414551   0.004521     0.684752     0.534253      0.609587     0.002333      0.160370      0.151213       0.156378      0.000008
ENUM_SIEVE   74        9  3397.649776 2903.385266 3170.609998 2.409224e+04   1.550064   1.317878    1.441635   0.005080     0.632954     0.553100      0.592915     0.000502      0.161848      0.153318       0.156990      0.000007
ENUM_SIEVE   75        9  3413.063726 2872.490035 3217.652825 2.218686e+04   1.535689   1.301941    1.449782   0.004095     0.632782     0.558596      0.587613     0.000561      0.161173      0.152318       0.155908      0.000009
ENUM_SIEVE   76        9  3399.242416 2872.722924 3253.073289 2.738829e+04   1.521595   1.284672    1.456786   0.005600     0.652138     0.573159      0.610638     0.000524      0.165131      0.151239       0.156610      0.000016
ENUM_SIEVE   77        9  3547.691644 3148.498531 3363.315064 1.206522e+04   1.577818   1.397688    1.495936   0.002445     0.695021     0.559736      0.604425     0.001950      0.161133      0.150901       0.155710      0.000009
ENUM_SIEVE   78        9  3956.113750 3374.852441 3581.384209 2.672504e+04   1.759087   1.491962    1.585928   0.005562     0.662472     0.559999      0.595294     0.001134      0.160916      0.149310       0.154805      0.000013
ENUM_SIEVE   79        9  3795.067457 3533.964063 3689.602068 8.797026e+03   1.673483   1.554378    1.622459   0.001890     0.624097     0.574269      0.594472     0.000255      0.161951      0.151583       0.155701      0.000011
ENUM_SIEVE   80        9  3800.737428 3042.412365 3487.695866 4.976910e+04   1.661683   1.332696    1.525464   0.009389     0.625029     0.553484      0.591123     0.000332      0.161449      0.147387       0.154712      0.000017
ENUM_SIEVE   81        9  3997.672948 3566.197134 3798.157918 2.087898e+04   1.735513   1.547375    1.652943   0.004062     0.665115     0.571265      0.616979     0.000649      0.160760      0.151915       0.156367      0.000010
ENUM_SIEVE   82        9  4116.857539 3430.160783 3860.140807 3.372095e+04   1.779807   1.488087    1.670975   0.006149     0.694286     0.571576      0.617820     0.001226      0.158235      0.149771       0.155461      0.000006
ENUM_SIEVE   83        9  4256.130755 3603.507042 3934.001004 3.432188e+04   1.833040   1.545034    1.691282   0.006604     0.672045     0.572248      0.617279     0.000860      0.161148      0.153756       0.157287      0.000006
ENUM_SIEVE   84        9  4522.287032 3992.413305 4243.428416 3.233328e+04   1.932278   1.709434    1.812572   0.005674     0.655423     0.573283      0.607823     0.000530      0.162300      0.153200       0.157445      0.000010
ENUM_SIEVE   85        9  4298.214280 3776.175314 4032.822592 3.155961e+04   1.822916   1.600989    1.712949   0.005504     0.701417     0.542352      0.622226     0.003044      0.160515      0.152038       0.156735      0.000006
